State,Action,Next State,Transitions
"(1,P)",P,"(1,P)",1.0
"(2,P)",P,"(2,P)",1.0
"(3,P)",P,"(3,P)",1.0
"(4,P)",P,"(4,P)",1.0
"(5,P)",P,"(5,P)",1.0
"(1,E1)",C1,"(1,E4)",1.0
"(1,E2)",T,"(1,E2)",0.687548
"(1,E2)",T,"(1,P)",0.312452
"(1,E2)",INR1,"(1,E1)",1.0
"(1,E2)",R2,"(2,E1)",1.0
"(1,E2)",R3,"(3,E1)",1.0
"(1,E2)",R4,"(4,E1)",1.0
"(1,E2)",R5,"(5,E1)",1.0
"(1,E3)",T,"(1,E3)",0.687158
"(1,E3)",T,"(1,P)",0.312842
"(1,E3)",INR1,"(1,E2)",0.999915
"(1,E3)",INR1,"(1,E1)",8.5e-05
"(1,E3)",R2,"(2,E2)",0.954269
"(1,E3)",R2,"(2,E1)",0.045731
"(1,E3)",R3,"(3,E2)",0.932775
"(1,E3)",R3,"(3,E1)",0.067225
"(1,E3)",R4,"(4,E2)",0.918594
"(1,E3)",R4,"(4,E1)",0.081406
"(1,E3)",R5,"(5,E2)",0.926846
"(1,E3)",R5,"(5,E1)",0.073154
"(1,E4)",T,"(1,E4)",0.687104
"(1,E4)",T,"(1,P)",0.312896
"(1,E4)",INR1,"(1,E3)",0.999915
"(1,E4)",INR1,"(1,E2)",8.5e-05
"(1,E4)",INR1,"(1,E1)",0.0
"(1,E4)",R2,"(2,E3)",0.945524
"(1,E4)",R2,"(2,E2)",0.045312
"(1,E4)",R2,"(2,E1)",0.009164
"(1,E4)",R3,"(3,E3)",0.909879
"(1,E4)",R3,"(3,E2)",0.065575
"(1,E4)",R3,"(3,E1)",0.024546
"(1,E4)",R4,"(4,E3)",0.8871666666666667
"(1,E4)",R4,"(4,E2)",0.07862066666666662
"(1,E4)",R4,"(4,E1)",0.03421266666666662
"(1,E4)",R5,"(5,E3)",0.899533
"(1,E4)",R5,"(5,E2)",0.070999
"(1,E4)",R5,"(5,E1)",0.029468
"(2,E1)",C2,"(2,E4)",1.0
"(2,E2)",T,"(2,E2)",0.841505
"(2,E2)",T,"(2,P)",0.158495
"(2,E2)",R1,"(1,E1)",1.0
"(2,E2)",INR2,"(2,E1)",1.0
"(2,E2)",R3,"(3,E1)",1.0
"(2,E2)",R4,"(4,E1)",1.0
"(2,E2)",R5,"(5,E1)",1.0
"(2,E3)",T,"(2,E3)",0.841503
"(2,E3)",T,"(2,P)",0.158497
"(2,E3)",R1,"(1,E2)",0.97058
"(2,E3)",R1,"(1,E1)",0.02942
"(2,E3)",INR2,"(2,E2)",1.0
"(2,E3)",INR2,"(2,E1)",0.0
"(2,E3)",R3,"(3,E2)",0.947976
"(2,E3)",R3,"(3,E1)",0.052024
"(2,E3)",R4,"(4,E2)",0.924999
"(2,E3)",R4,"(4,E1)",0.075001
"(2,E3)",R5,"(5,E2)",0.963653
"(2,E3)",R5,"(5,E1)",0.036347
"(2,E4)",T,"(2,E4)",0.841503
"(2,E4)",T,"(2,P)",0.158497
"(2,E4)",R1,"(1,E3)",0.966558
"(2,E4)",R1,"(1,E2)",0.029298
"(2,E4)",R1,"(1,E1)",0.004144
"(2,E4)",INR2,"(2,E3)",1.0
"(2,E4)",INR2,"(2,E2)",0.0
"(2,E4)",INR2,"(2,E1)",0.0
"(2,E4)",R3,"(3,E3)",0.933919
"(2,E4)",R3,"(3,E2)",0.051252
"(2,E4)",R3,"(3,E1)",0.014829
"(2,E4)",R4,"(4,E3)",0.8913893333333334
"(2,E4)",R4,"(4,E2)",0.07227633333333335
"(2,E4)",R4,"(4,E1)",0.036334333333333343
"(2,E4)",R5,"(5,E3)",0.956066
"(2,E4)",R5,"(5,E2)",0.036061
"(2,E4)",R5,"(5,E1)",0.007873
"(3,E1)",C3,"(3,E4)",1.0
"(3,E2)",T,"(3,E2)",0.858604
"(3,E2)",T,"(3,P)",0.141396
"(3,E2)",R1,"(1,E1)",1.0
"(3,E2)",R2,"(2,E1)",1.0
"(3,E2)",INR3,"(3,E1)",1.0
"(3,E2)",R4,"(4,E1)",1.0
"(3,E2)",R5,"(5,E1)",1.0
"(3,E3)",T,"(3,E3)",0.858584
"(3,E3)",T,"(3,P)",0.141416
"(3,E3)",R1,"(1,E2)",0.933241
"(3,E3)",R1,"(1,E1)",0.066759
"(3,E3)",R2,"(2,E2)",0.931092
"(3,E3)",R2,"(2,E1)",0.068908
"(3,E3)",INR3,"(3,E2)",0.9999985
"(3,E3)",INR3,"(3,E1)",1.4999999999876223e-06
"(3,E3)",R4,"(4,E2)",0.917495
"(3,E3)",R4,"(4,E1)",0.082505
"(3,E3)",R5,"(5,E2)",0.912981
"(3,E3)",R5,"(5,E1)",0.087019
"(3,E4)",T,"(3,E4)",0.858583
"(3,E4)",T,"(3,P)",0.141417
"(3,E4)",R1,"(1,E3)",0.912855
"(3,E4)",R1,"(1,E2)",0.065301
"(3,E4)",R1,"(1,E1)",0.021844
"(3,E4)",R2,"(2,E3)",0.9115653333333333
"(3,E4)",R2,"(2,E2)",0.06746233333333333
"(3,E4)",R2,"(2,E1)",0.020972333333333343
"(3,E4)",INR3,"(3,E3)",0.999998
"(3,E4)",INR3,"(3,E2)",9.999999999917482e-07
"(3,E4)",INR3,"(3,E1)",9.999999999917482e-07
"(3,E4)",R4,"(4,E3)",0.8784183333333333
"(3,E4)",R4,"(4,E2)",0.07899133333333332
"(3,E4)",R4,"(4,E1)",0.042590333333333306
"(3,E4)",R5,"(5,E3)",0.874315
"(3,E4)",R5,"(5,E2)",0.083334
"(3,E4)",R5,"(5,E1)",0.042351
"(4,E1)",C4,"(4,E4)",1.0
"(4,E2)",T,"(4,E2)",0.83316
"(4,E2)",T,"(4,P)",0.16684
"(4,E2)",R1,"(1,E1)",1.0
"(4,E2)",R2,"(2,E1)",1.0
"(4,E2)",R3,"(3,E1)",1.0
"(4,E2)",INR4,"(4,E1)",1.0
"(4,E2)",R5,"(5,E1)",1.0
"(4,E3)",T,"(4,E3)",0.832359
"(4,E3)",T,"(4,P)",0.167641
"(4,E3)",R1,"(1,E2)",0.924817
"(4,E3)",R1,"(1,E1)",0.075183
"(4,E3)",R2,"(2,E2)",0.915175
"(4,E3)",R2,"(2,E1)",0.084825
"(4,E3)",R3,"(3,E2)",0.914329
"(4,E3)",R3,"(3,E1)",0.085671
"(4,E3)",INR4,"(4,E2)",0.996837
"(4,E3)",INR4,"(4,E1)",0.003163
"(4,E3)",R5,"(5,E2)",0.942019
"(4,E3)",R5,"(5,E1)",0.057981
"(4,E4)",T,"(4,E4)",0.832186
"(4,E4)",T,"(4,P)",0.167814
"(4,E4)",R1,"(1,E3)",0.898316
"(4,E4)",R1,"(1,E2)",0.073028
